Yelp Category,LOD Resource name,LOD Resource URL
Accessories,Fashion_accessory,http://dbpedia.org/resource/Fashion_accessory
Accountants,Accountant,http://dbpedia.org/resource/Accountant
Active Life,Active_living,http://dbpedia.org/resource/Active_living
Acupuncture,Acupuncture,http://dbpedia.org/resource/Acupuncture
Adult,Adult,http://dbpedia.org/resource/Adult
African,African_cuisine,http://dbpedia.org/resource/African_cuisine
Airlines,Airline,http://dbpedia.org/resource/Airline
Airport Lounges,Airport_lounge,http://dbpedia.org/resource/Airport_lounge
Airport Shuttles,Airport_bus,http://dbpedia.org/resource/Airport_bus
Airports,Airport,http://dbpedia.org/resource/Airport
Amateur Sports Teams,Amateur_sports,http://dbpedia.org/resource/Amateur_sports
American (New),New_American_cuisine,http://dbpedia.org/resource/New_American_cuisine
American (Traditional),Cuisine_of_the_United_States,http://dbpedia.org/resource/Cuisine_of_the_United_States
Amusement Parks,Amusement_park,http://dbpedia.org/resource/Amusement_park
Animal Shelters,Animal_shelter,http://dbpedia.org/resource/Animal_shelter
Antiques,Antique,http://dbpedia.org/resource/Antique
Apartments,Apartment,http://dbpedia.org/resource/Apartment
Appliances,Home_appliance,http://dbpedia.org/resource/Home_appliance
Appliances & Repair,Home_appliance,http://dbpedia.org/resource/Home_appliance
Appliances & Repair,"Maintenance,_repair,_and_operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Aquarium Services,Aquarium,http://dbpedia.org/resource/Aquarium
Aquariums,Aquarium,http://dbpedia.org/resource/Aquarium
Arcades,Arcade_game,http://dbpedia.org/resource/Arcade_game
Architects,Architect,http://dbpedia.org/resource/Architect
Art Classes,Art_glass,http://dbpedia.org/resource/Art_glass
Art Galleries,Art_museum,http://dbpedia.org/resource/Art_museum
Art Museums,Art_museum,http://dbpedia.org/resource/Art_museum
Art Supplies,Art,http://dbpedia.org/resource/Art
Art Supplies,Tool,http://dbpedia.org/resource/Tool
Arts & Crafts,Craft,http://dbpedia.org/resource/Craft
Arts & Crafts,The_arts,http://dbpedia.org/resource/The_arts
