Category,LOD Resource (DBpedia resources)
Accessories,Fashion_accessory
Accountants,Accountant
Active Life,Active_living
Acupuncture,Acupuncture
Adult,Adult
African,African_cuisine
Airlines,Airline
Airport Lounges,Airport_lounge
Airport Shuttles,Airport_bus
Airports,Airport
Amateur Sports Teams,Amateur_sports
American (New),New_American_cuisine
American (Traditional),Cuisine_of_the_United_States
Amusement Parks,Amusement_park
Animal Shelters,Animal_shelter
Antiques,Antique
Apartments,Apartment
Appliances,Home_appliance
Appliances & Repair,Home_appliance
Appliances & Repair,"Maintenance,_repair,_and_operations"
Aquarium Services,Aquarium
Aquariums,Aquarium
Arcades,Arcade_game
Architects,Architect
Art Classes,Art_glass
Art Galleries,Art_museum
Art Museums,Art_museum
Art Supplies,Art
Art Supplies,Tool
Arts & Crafts,Craft
Arts & Crafts,The_arts
Arts & Entertainment,Entertainment
Arts & Entertainment,The_arts
Asian Fusion,Fusion_cuisine
ATV Rentals/Tours,Renting
Auto Detailing,Auto_detailing
Auto Glass Services,Car_glass
Auto Parts & Supplies,List_of_auto_parts
Auto Repair,Auto_mechanic
Automotive,Automotive_industry
Baby Gear & Furniture,Baby_furniture
Baby Gear & Furniture,Infant_clothing
Baby Gear & Furniture,Toy
Bagels,Bagel
Bakeries,Bakery
Banks & Credit Unions,Credit_union
Barbeque,Barbecue
Barbers,Barber
Bars,Bar
Basque,Basque_cuisine
Battery Stores,Retail
Beauty & Spas,Beauty_salon
Beauty & Spas,Spa
Beer Bar,Bar
Beer Bar,Beer
Beer Gardens,Beer_garden
"Beer, Wine & Spirits",Beer
"Beer, Wine & Spirits",Distilled_beverage
"Beer, Wine & Spirits",Wine
Belgian,Belgian_cuisine
Bikes,Bicycle
Blow Dry/Out Services,Beauty_salon
Blow Dry/Out Services,Hairdresser
Body Shops,Automobile_repair_shop
"Books, Mags, Music & Video",Bookselling
"Books, Mags, Music & Video",Magazine
"Books, Mags, Music & Video",Video_rental_shop
Bookstores,Bookselling
Boot Camps,Training_camp
Botanical Gardens,Botanical_garden
Bowling,Bowling
Boxing,Boxing
Brasseries,Brasserie
Brazilian,Brazilian_cuisine
Breakfast & Brunch,Breakfast
Breakfast & Brunch,Brunch
Breweries,Brewery
Brewing Supplies,Brewing
Brewing Supplies,Vendor
Bridal,Bride
British,British_cuisine
Bubble Tea,Bubble_tea
Buffets,Buffet
Building Supplies,Building_material
Buses,Bus
Business Consulting,Business_consultant
Cafes,Coffeehouse
Cajun/Creole,Cajun_cuisine
Cajun/Creole,Louisiana_Creole_cuisine
Campgrounds,Campsite
Canadian (New),Canadian_cuisine
Candy Stores,Confectionery_store
Cantonese,Cantonese_cuisine
Car Dealers,Car_dealership
Car Rental,Car_rental
Car Stereo Installation,Vehicle_audio
Car Wash,Car_wash
Caribbean,Caribbean_cuisine
Carpet Cleaning,Carpet_cleaning
Casinos,Casino
Caterers,Catering
Champagne Bars,Bar
Champagne Bars,Champagne
Cheese Shops,Cheese
Cheese Shops,Shopping
Cheesesteaks,Cheesesteak
Chicken Shop,Fried_chicken_restaurant
Chicken Wings,Buffalo_wing
Child Care & Day Care,Child_care
Child Care & Day Care,Day_care
Chinese,Chinese_cuisine
Chiropractors,Chiropractic
Chocolatiers & Shops,Chocolaterie
Churches,Christian_Church
Cinema,Movie_theater
Climbing,Climbing
Cocktail Bars,Bar
Coffee & Tea,Coffea
