Yelp Category,LOD Resource
Accessories,http://dbpedia.org/resource/Fashion_accessory
Accountants,http://dbpedia.org/resource/Accountant
Active Life,http://dbpedia.org/resource/Active_living
Acupuncture,http://dbpedia.org/resource/Acupuncture
Adult,http://dbpedia.org/resource/Adult
African,http://dbpedia.org/resource/African_cuisine
Airlines,http://dbpedia.org/resource/Airline
Airport Lounges,http://dbpedia.org/resource/Airport_lounge
Airport Shuttles,http://dbpedia.org/resource/Airport_bus
Airports,http://dbpedia.org/resource/Airport
Amateur Sports Teams,http://dbpedia.org/resource/Amateur_sports
American (New),http://dbpedia.org/resource/New_American_cuisine
American (Traditional),http://dbpedia.org/resource/Cuisine_of_the_United_States
Amusement Parks,http://dbpedia.org/resource/Amusement_park
Animal Shelters,http://dbpedia.org/resource/Animal_shelter
Antiques,http://dbpedia.org/resource/Antique
Apartments,http://dbpedia.org/resource/Apartment
Appliances,http://dbpedia.org/resource/Home_appliance
Appliances & Repair,http://dbpedia.org/resource/Home_appliance
Appliances & Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Aquarium Services,http://dbpedia.org/resource/Aquarium
Aquariums,http://dbpedia.org/resource/Aquarium
Arcades,http://dbpedia.org/resource/Arcade_game
Architects,http://dbpedia.org/resource/Architect
Art Classes,http://dbpedia.org/resource/Art_glass
Art Galleries,http://dbpedia.org/resource/Art_museum
Art Museums,http://dbpedia.org/resource/Art_museum
Art Supplies,http://dbpedia.org/resource/Art
Art Supplies,http://dbpedia.org/resource/Tool
Arts & Crafts,http://dbpedia.org/resource/Craft
Arts & Crafts,http://dbpedia.org/resource/The_arts
Arts & Entertainment,http://dbpedia.org/resource/Entertainment
Arts & Entertainment,http://dbpedia.org/resource/The_arts
Asian Fusion,http://dbpedia.org/resource/Fusion_cuisine
ATV Rentals/Tours,http://dbpedia.org/resource/Renting
Auto Detailing,http://dbpedia.org/resource/Auto_detailing
Auto Glass Services,http://dbpedia.org/resource/Car_glass
